name,location,cuisines,estimated_cost_for_two,rating
Hari Super Sandwich,banashankari,"beverages, pizza, sandwich",200.0,
Atithi Point Ande Ka Funda,banashankari,north indian,150.0,3.1
Just Bake,banashankari,"bakery, desserts",400.0,3.4
Dharwad Line Bazaar Mishra Pedha,banashankari,mithai,150.0,
Cake Bite,banashankari,bakery,300.0,
Aarush's Food Plaza,banashankari,"north indian, street food",200.0,
Wood Stove,banashankari,south indian,150.0,
Kulfi & More,banashankari,"desserts, ice cream, juices",150.0,
Kannadigas Karavali,banashankari,"mangalorean, north indian, south indian",250.0,
K27 - The Pub,banashankari,"chinese, north indian",1000.0,3.1
Bengaluru Coffee House,banashankari,"chinese, north indian, south indian, street food",300.0,4.1
New Mangalore Lunch Home,banashankari,"mangalorean, north indian, south indian",200.0,3.3
Coffee Bytes,banashankari,"fast food, south indian",100.0,3.1
Parjanya Chat Zone,banashankari,"fast food, street food",200.0,3.3
Kwality Wall's Swirl's Happiness Station,banashankari,"desserts, ice cream",200.0,2.9
Soms Kitchen & Bakes,banashankari,"continental, north indian, south indian",400.0,
Banashankari Nati Style,banashankari,"biryani, chinese, north indian, south indian",350.0,
Ruchi Maayaka,banashankari,south indian,100.0,3.3
Mohitesh Hut Roll,banashankari,"north indian, rolls",150.0,
Sri Basaveshwar Jolada Rotti Oota,banashankari,south indian,150.0,
Roll Magic Fast Food,banashankari,"biryani, chinese, rolls",200.0,
Foodlieious Multi Cuisine,banashankari,north indian,100.0,
Thanishka Nati And Karavali Style,banashankari,"biryani, fast food",400.0,
Swathi Cool Point,banashankari,"beverages, juices",200.0,
Kaumudis Juoice,banashankari,"beverages, fast food, juices",150.0,
Amma - Manae,banashankari,south indian,400.0,
Sri Sai Tiffannies,banashankari,"chinese, south indian",150.0,
Hotel Andhra Speices,banashankari,andhra,250.0,
Sri Murari Family Restaurant,banashankari,biryani,250.0,
Aramane Donne Biriyani,banashankari,"biryani, south indian",150.0,
Darkolates,banashankari,desserts,200.0,
Swaada Healthy Kitchen,banashankari,"healthy food, juices, sandwich",350.0,
Gawdaru Mane Beriyani,banashankari,"biryani, south indian",300.0,
Melting Melodies,banashankari,"fast food, pizza",100.0,
New Indraprasta,banashankari,"beverages, south indian",150.0,
Anna Kuteera,banashankari,"chinese, north indian, south indian",450.0,4.0
Darbar,banashankari,"chinese, north indian",800.0,3.0
Vijayalakshmi,basavanagudi,south indian,200.0,3.9
Sri Udupi Food Hub,jayanagar,"beverages, chinese, north indian, south indian",500.0,4.1
Udupi Upahar,banashankari,"chinese, juices, north indian, south indian",300.0,3.8
House Of Kebabs,basavanagudi,"biryani, chinese, kebab, north indian",650.0,3.8
Roll N Rock,kumaraswamy layout,"chinese, mughlai, north indian, rolls",400.0,3.8
BOX8- Desi Meals,banashankari,"fast food, mughlai, north indian",500.0,4.1
KFC,banashankari,"burger, fast food",450.0,3.8
Bitez,banashankari,fast food,100.0,
Roll Over,jayanagar,"beverages, desserts, fast food, ice cream, sandwich",500.0,4.1
Imperial Restaurant,mysore road,"beverages, biryani, chinese, north indian",750.0,3.7
Lassi Shop,kumaraswamy layout,"beverages, ice cream, juices",150.0,3.9
The Fortuna,kumaraswamy layout,"chinese, north indian",250.0,3.0
Wahab,jayanagar,"chinese, mughlai, north indian",350.0,3.7
Al Diwan Biryanis And More,basavanagudi,biryani,300.0,3.3
New Gowda's Fried Chicken,banashankari,biryani,300.0,3.3
Canton,jayanagar,"biryani, chinese, seafood",800.0,3.6
Diabetics Dezire Sugarless Sweets and Bakes,basavanagudi,"desserts, mithai",300.0,3.3
The Blue Wagon - Kitchen,jayanagar,"beverages, cafe",400.0,4.6
HOT COFFEE,basavanagudi,"chinese, south indian",150.0,4.1
Patio 805,jayanagar,"asian, chinese, thai, vietnamese",1200.0,4.1
Lassi Corner,basavanagudi,"beverages, ice cream",150.0,3.7
Sagar Deluxe,kumaraswamy layout,"chinese, juices, north indian, south indian",300.0,3.2
Kanti Sweets,banashankari,"mithai, street food",400.0,4.0
Vegetalia,banashankari,"italian, pizza",400.0,3.7
Aramane Donne Biryani,banashankari,biryani,200.0,3.5
Ande Ka Funda,banashankari,"fast food, north indian, rolls",250.0,3.8
Cake Ghar,basavanagudi,bakery,400.0,3.8
Energy Addaa,basavanagudi,"burger, desserts, healthy food, juices, pizza, salad, sandwich",500.0,4.2
Bhattara Bhojana,banashankari,south indian,150.0,3.6
Tandoori Knight,banashankari,"biryani, chinese, kebab, north indian",450.0,3.0
Dev Sagar - Food Street,basavanagudi,street food,200.0,4.1
Mitraa Da Pizza,kumaraswamy layout,"fast food, pizza",250.0,3.8
Paradise Premium,banashankari,"andhra, biryani, hyderabadi, north indian",700.0,3.1
Grazers,jayanagar,"burger, cafe, continental, desserts, italian",650.0,3.9
Shakes Theory,jayanagar,"beverages, sandwich",300.0,4.5
@Italy,kumaraswamy layout,italian,700.0,4.1
Chilli Flakes,banashankari,"beverages, fast food, italian",500.0,3.6
Calcutta Cafe,kumaraswamy layout,"bengali, chinese, sandwich",350.0,3.5
Old Mumbai Ice Cream,banashankari,ice cream,150.0,3.9
Donne Biriyani House,banashankari,"biryani, chinese, north indian, south indian",400.0,3.9
By 2 Coffee,basavanagudi,south indian,100.0,3.9
Kedia's Fun Food,jayanagar,"juices, north indian, street food",200.0,4.3
Davangere Butter Dosa Hotel,kumaraswamy layout,south indian,150.0,3.8
Just Shawarma,kumaraswamy layout,arabian,300.0,3.9
Mini Punjabi Dhaba,banashankari,north indian,350.0,4.2
Mulabagilu Dosa,basavanagudi,south indian,100.0,3.6
Gokul Veg,basavanagudi,"beverages, chinese, north indian",750.0,3.8
Olive - Era,kumaraswamy layout,"arabian, bbq, chinese, desserts, juices, kebab, north indian, rolls",550.0,3.3
Udupi Ruchi,banashankari,"chinese, north indian, south indian, street food",200.0,3.9
Madhappa Hindu Military Hotel,banashankari,south indian,300.0,3.4
Gama Gama,banashankari,south indian,200.0,3.9
Pizza Hut,banashankari,"fast food, pizza",750.0,3.8
Mangalore Pearl,jayanagar,"biryani, chinese, mangalorean, seafood",650.0,3.8
Asha Sweets Centre,basavanagudi,fast food,250.0,3.6
Twiststick House,basavanagudi,"continental, fast food, momos, street food",500.0,4.1
Cool Corner,basavanagudi,"fast food, street food",250.0,4.2
Pizza Mane,banashankari,"burger, fast food, pizza, sandwich",150.0,3.5
Dal Tadkaa,banashankari,north indian,500.0,2.5
Chutney Chang,jayanagar,"bbq, chinese, north indian",1500.0,4.1
Mystique Palate,jayanagar,"chinese, fast food",300.0,4.1
Thamboola,banashankari,"chinese, continental, north indian",800.0,3.9
Castle Rock,uttarahalli,"chinese, north indian",700.0,3.6
Vietnamese Kitchen,banashankari,vietnamese,700.0,3.6
C Corner,kumaraswamy layout,"fast food, street food",200.0,3.2
Paratha Merchant,kumaraswamy layout,north indian,300.0,3.1
North Rasoe,kumaraswamy layout,"biryani, chinese, kebab, north indian",500.0,3.1
Inchara Restaurant,basavanagudi,"chinese, north indian",300.0,
Toscano,jayanagar,"italian, salad",1300.0,4.3
Lord Of The Kitchen,kumaraswamy layout,"chinese, north indian",350.0,3.9
Stoned Monkey,banashankari,"desserts, ice cream",500.0,4.3
Central Jail Restaurant,jayanagar,"andhra, chinese, north indian, seafood",700.0,3.8
Bella,jayanagar,"mangalorean, seafood, south indian",1000.0,3.9
Vennela Andhra Meals,jayanagar,andhra,400.0,3.0
New Prashanth Hotel,jayanagar,"biryani, chinese, north indian, south indian",750.0,3.6
The Grillo,jayanagar,"arabian, chinese, mangalorean, north indian, seafood, south indian",500.0,2.8
Re Malnad Nati Style Hotel,jp nagar,south indian,400.0,3.6
Karma Kaapi,jayanagar,"beverages, tea",250.0,4.4
Tiwari's,jayanagar,"north indian, street food",200.0,3.8
Pizza Stop,basavanagudi,"italian, pizza",600.0,3.8
Biggies Burger 'n' More,kumaraswamy layout,"beverages, burger, cafe",650.0,3.6
Kollapuri's,basavanagudi,"mangalorean, south indian",450.0,3.9
Sugar Stars Co,basavanagudi,"bakery, desserts",300.0,
Bombay Kulfis,jp nagar,ice cream,200.0,
Kadamba Classic,mysore road,south indian,300.0,3.6
RS Shiv Sagar,basavanagudi,"chinese, fast food, juices, north indian, south indian",450.0,3.7
Kholi Mane,basavanagudi,"andhra, biryani, north indian, south indian",450.0,3.6
Harshi Super Sandwich,basavanagudi,"fast food, street food",150.0,3.8
Cake Yard,basavanagudi,desserts,250.0,3.4
Sri Udupi Veg,jayanagar,south indian,250.0,3.3
Cake Art,basavanagudi,bakery,400.0,3.5
Aahar Cafe,basavanagudi,south indian,100.0,
Akash Gowdru Biryani Center,uttarahalli,"chinese, north indian",300.0,
New Sri Udupi Restaurant,jayanagar,"beverages, chinese, fast food, north indian, south indian",200.0,
Potato House,uttarahalli,street food,200.0,3.4
Hotel Biriyani Counter,vijay nagar,"biryani, chinese, north indian",350.0,
Matru Sagar,mysore road,"north indian, south indian",300.0,3.7
Ugadi,jayanagar,"andhra, biryani, chinese, mangalorean, north indian",700.0,2.9
Sri Krishna Sweets,basavanagudi,"desserts, mithai",250.0,3.7
In Time Cane Juice,kumaraswamy layout,"beverages, juices",100.0,3.5
Subway,banashankari,"fast food, salad",600.0,3.7
Daal Roti,kumaraswamy layout,"chinese, north indian",250.0,2.9
The Lassi Park,jayanagar,"desserts, juices",200.0,4.1
Cafe Coffee Day,jayanagar,"cafe, fast food",900.0,3.2
A2B - Adyar Ananda Bhavan,mysore road,"chinese, north indian, south indian, street food",400.0,3.8
Srikrishna Bhavan,banashankari,"chinese, north indian, south indian",300.0,3.8
Green Gardenia,banashankari,"chinese, north indian",700.0,3.8
J Spice,banashankari,"chinese, north indian",750.0,3.8
Karavali Family Restaurant,jayanagar,"biryani, chinese, north indian, seafood, south indian",500.0,3.5
Karavali Lunch Home,kumaraswamy layout,"mangalorean, south indian",350.0,3.7
Hatti Kaapi,jayanagar,"beverages, south indian",200.0,4.0
Kolkata Kathi Roll's,banashankari,"fast food, rolls",250.0,3.6
Upahara Darshini,basavanagudi,"chinese, fast food, north indian, south indian",600.0,3.9
The Chaat Shop,basavanagudi,fast food,200.0,2.5
Anda Ka Funda,jayanagar,"chinese, north indian, rolls",250.0,3.4
Shri Vinayaka Ice N Juice,basavanagudi,"beverages, fast food",150.0,3.2
Ibaco,jayanagar,desserts,300.0,3.9
Jalaram Sweets,jayanagar,"desserts, mithai",250.0,3.8
Samskruti - Sanman Gardenia,jayanagar,"chinese, north indian, south indian",550.0,4.1
Bendakaluru Bytes,vijay nagar,fast food,300.0,3.2
Cocoa Bakes,banashankari,"bakery, desserts",350.0,3.6
Chumma Delicious,banashankari,"fast food, south indian",200.0,3.7
New Prashanth Hotel,banashankari,"andhra, biryani, north indian, seafood",650.0,3.9
SSV Upahar,jayanagar,"chinese, south indian",300.0,
Dwaraka Grand,kumaraswamy layout,"chinese, juices, south indian, street food",500.0,3.9
Gufha - The President Hotel,jayanagar,"afghani, mughlai, north indian",1200.0,4.1
Tanna's Kitchen,kumaraswamy layout,"chinese, italian, street food",250.0,3.1
Shree Mandarathi Grand,uttarahalli,"north indian, south indian",400.0,3.7
Mojo Pizza - 2X Toppings,banashankari,pizza,600.0,4.2
Iceberg Icecreams,basavanagudi,"desserts, ice cream",250.0,4.0
South Kitchen,basavanagudi,south indian,100.0,4.3
Chung Wah,jayanagar,"chinese, momos, thai",850.0,3.7
Shanthi Sagar,uttarahalli,"chinese, north indian, south indian",400.0,3.1
Millet Mama,basavanagudi,"healthy food, south indian",200.0,3.9
Bangarpet Chat Express,basavanagudi,"fast food, street food",100.0,3.3
South Cool Point,basavanagudi,beverages,100.0,
Prems Graama Bhojanam,jayanagar,south indian,400.0,4.3
Java City,jayanagar,"american, cafe, pizza",450.0,2.6
Kamat Bugle Rock,basavanagudi,"fast food, south indian",300.0,3.9
Puliyogare Point,basavanagudi,south indian,100.0,4.2
Bangalore Agarwal Bhavan,jayanagar,"north indian, south indian, street food",400.0,3.9
Rustic Stove,jayanagar,"beverages, biryani, north indian, south indian",900.0,3.8
Udupi Ruchi Grand,banashankari,"chinese, north indian, south indian, street food",200.0,4.2
De Thaali,jayanagar,"chinese, north indian, rolls",550.0,3.9
Just Thindi,basavanagudi,south indian,200.0,3.6
Matru Sagar,banashankari,"chinese, north indian, south indian",250.0,3.6
Vasanth Vihar - Since 1965,banashankari,"south indian, street food",150.0,3.6
Sea Spice by 7 Star,banashankari,"beverages, biryani, kebab, north indian, seafood, south indian",1200.0,4.0
Desi Dawat,kumaraswamy layout,"fast food, north indian",400.0,3.7
Cafe Aira,basavanagudi,"beverages, cafe, continental, desserts",500.0,4.1
Donne Biriyani combos,kumaraswamy layout,biryani,400.0,
Mast Punjabi,kumaraswamy layout,"biryani, chinese, kebab, north indian, rolls",400.0,2.6
South Grand,uttarahalli,"beverages, chinese, north indian, south indian",400.0,3.4
The Pizzeria,banashankari,"italian, pizza, salad",800.0,2.8
Cafe Zone,kumaraswamy layout,"chinese, fast food, rolls",300.0,3.9
Ruchis Point,banashankari,"chinese, fast food",200.0,3.8
Firangi Bake,rajarajeshwari nagar,"italian, mexican",600.0,4.0
The Royal Corner - Pai Viceroy,jayanagar,"chinese, north indian",900.0,4.2
Hara Fine Dine,banashankari,"chinese, north indian",800.0,4.0
Chocoberry,jayanagar,"beverages, desserts, ice cream",400.0,3.5
Dakshin Grand,banashankari,"chinese, north indian, south indian, street food",300.0,3.0
Sandwichwallas,jayanagar,fast food,200.0,3.7
Chai Mane,basavanagudi,"fast food, juices",150.0,3.6
SLV Upachar,kumaraswamy layout,"chinese, south indian, street food",250.0,3.1
Waffle-A-Go Go,banashankari,"desserts, fast food, ice cream",400.0,3.9
Cross Road Cafe,jayanagar,"cafe, chinese, fast food",300.0,3.9
Anand Donne Biriyani,jayanagar,biryani,200.0,3.6
Seven Star,banashankari,"chinese, north indian",250.0,3.4
Stop 'N' Joy,banashankari,fast food,150.0,3.8
Sri Yaksha Shiv Sagar,banashankari,"chinese, north indian",600.0,3.6
Fudge,basavanagudi,"desserts, momos",200.0,3.8
Just Bunny,jayanagar,fast food,200.0,3.5
Bakers Town,kumaraswamy layout,"cafe, continental, fast food",650.0,3.8
Shree Mahalakshmi Sweets,banashankari,"mithai, street food",100.0,3.2
Kaapi Kendra,jayanagar,south indian,100.0,3.7
Ivy,kumaraswamy layout,"chinese, fast food, north indian",600.0,3.8
The Airos,jayanagar,"cafe, italian, pizza",650.0,4.1
Chai Kraft,jayanagar,"beverages, tea",100.0,4.1
South Point Pub,basavanagudi,"chinese, north indian, seafood",800.0,3.4
The Trundle,jayanagar,"chinese, continental, north indian, thai",700.0,3.7
The Krishna Grand Xpress,jayanagar,"fast food, south indian",350.0,4.0
Sri Krishna Darshini,basavanagudi,"chinese, north indian, south indian",200.0,3.1
Shringar Sweets & Snacks,basavanagudi,"fast food, mithai, south indian, street food",200.0,3.5
Udupi Grand,basavanagudi,"chinese, north indian, south indian",300.0,3.8
Ganesh Grand,basavanagudi,"desserts, north indian, south indian",300.0,3.7
Shreyas Upahar & Burger Point,basavanagudi,"burger, south indian",200.0,3.0
Little Cafe,basavanagudi,"beverages, cafe",600.0,3.7
Mumbai Badam Milk & Lassi Center,basavanagudi,"beverages, desserts",100.0,3.6
Sri Krishna Sagar,banashankari,"chinese, north indian",400.0,3.2
Mylari Biryani Family Restaurant,banashankari,"biryani, fast food",400.0,3.7
1980s Games Cafe,basavanagudi,"cafe, fast food",400.0,3.4
Kadala Tarangaa,banashankari,"mangalorean, north indian, seafood",600.0,3.6
Namma Biryani,banashankari,"biryani, chinese, north indian",250.0,3.6
Nandhanu's Rasoi,kumaraswamy layout,"chinese, north indian",400.0,3.0
Hotel Pork Paradise,mysore road,south indian,300.0,3.7
As On Fire,south bangalore,"bbq, fast food, pizza",400.0,3.5
J K Fish Land,jayanagar,"mangalorean, seafood",300.0,3.6
Curry Leaves,basavanagudi,"andhra, chinese, north indian",800.0,4.1
Lassi Shop,banashankari,"beverages, fast food, ice cream",300.0,3.5
Magic Meals,jayanagar,"beverages, desserts, fast food",400.0,3.7
Desi Cream Junction,jayanagar,"chinese, italian, north indian, pizza",650.0,3.7
Drunken Monkey,kumaraswamy layout,"beverages, fast food",400.0,3.8
Ruchi's Corner,banashankari,fast food,200.0,2.7
Tandoori Bytes,kumaraswamy layout,north indian,700.0,3.6
Bangalore Donne Biriyani,kumaraswamy layout,"biryani, south indian",300.0,3.2
SGS Non Veg - Gundu Pulav,banashankari,"biryani, fast food",400.0,3.8
Keventers,banashankari,"beverages, desserts, ice cream",400.0,3.7
Sree Sagar,banashankari,south indian,200.0,
Navi Food Point,basavanagudi,fast food,200.0,3.6
Shawarma Inc,banashankari,"lebanese, rolls",250.0,3.1
The Cafe Nuts and Bolts,kumaraswamy layout,"cafe, chinese, fast food",500.0,3.0
AM WOW,jayanagar,beverages,100.0,3.4
Lalbagh Grand,basavanagudi,"chinese, north indian, south indian",250.0,3.0
Funjabi Curries,banashankari,north indian,500.0,2.9
Eat Repeat,basavanagudi,south indian,150.0,3.9
Salut,jayanagar,"continental, finger food, pizza, seafood",1200.0,4.1
Nammura Donne Biriyani,basavanagudi,"biryani, fast food",400.0,3.5
Lassi Stop,banashankari,"beverages, fast food, juices",150.0,3.4
Dakshin Kitchen,basavanagudi,south indian,100.0,3.6
Sri Sai Cafe,basavanagudi,south indian,200.0,3.5
Sri Sai 99 Variety Dosa,banashankari,south indian,300.0,3.8
Utsav Restaurant,banashankari,"chinese, north indian",300.0,3.8
Crunch and Munch,uttarahalli,"chinese, ice cream, street food",300.0,3.7
Food Geek,basavanagudi,"fast food, rolls, sandwich",350.0,3.8
Sri Krishna Aramane,kumaraswamy layout,"chinese, fast food, north indian, south indian",200.0,3.7
Great Indian Rolls,basavanagudi,rolls,100.0,3.3
Chats Point,basavanagudi,"fast food, street food",150.0,3.4
Food Point,kumaraswamy layout,"chinese, north indian",300.0,3.5
Swarga Ruchi,basavanagudi,south indian,200.0,3.3
Kolkata King,basavanagudi,"fast food, rolls",300.0,3.4
Sandwich Mama's And Frozen Monster,jayanagar,"beverages, fast food, ice cream",250.0,3.8
New Rajadhani Spicy,kumaraswamy layout,north indian,700.0,3.7
Big Mishra Pedha,jayanagar,mithai,250.0,2.9
VEGeatz,banashankari,"north indian, south indian",200.0,3.4
Foodizo,banashankari,"continental, desserts, fast food",300.0,3.6
Food Springs,jayanagar,"chinese, south indian",400.0,4.0
Chung's Chinese Corner,jayanagar,chinese,700.0,3.9
Eurasia Pasta and Barbeque by Little Italy,jayanagar,"bbq, fast food, italian, salad",1200.0,4.1
Goli Vada Pav No. 1,basavanagudi,street food,200.0,3.7
Ragoo's,jayanagar,"italian, north indian, pizza, salad",800.0,3.9
Pure & Natural,jayanagar,"beverages, continental, fast food, healthy food, salad",500.0,3.9
Maiyas,jayanagar,"fast food, juices, north indian, south indian",200.0,4.0
Sip n Dine,vijay nagar,"chinese, north indian, south indian",800.0,3.6
Cafe Mondo,basavanagudi,"beverages, cafe, italian",600.0,3.7
Jalpaan,jayanagar,"continental, north indian",900.0,4.0
Kataria's Pakwan,kumaraswamy layout,north indian,400.0,3.2
Juicy Momos,banashankari,"momos, tibetan",250.0,3.5
Amande Patisserie,basavanagudi,"bakery, desserts, french",300.0,4.0
Anand Sweets and Savouries,jayanagar,"mithai, street food",400.0,3.9
Chicken Hunt,banashankari,"biryani, chinese, north indian, south indian",350.0,3.5
Swadesh Tadka,banashankari,"beverages, chinese, north indian",600.0,3.5
Cane-O-La,basavanagudi,juices,100.0,3.8
New Biryani Mane,uttarahalli,"biryani, chinese, north indian, south indian",450.0,3.7
Upahara Darshini,jayanagar,"chinese, north indian, south indian",400.0,3.8
Karnataka Bhel House,basavanagudi,street food,100.0,4.1
Sreeraj Lassi Bar,jayanagar,beverages,150.0,4.1
Juice Junction Food Court,basavanagudi,"chinese, fast food, juices, south indian",200.0,3.7
Bunt's Biriyani Palace,banashankari,"biryani, chinese, north indian, seafood, south indian",400.0,3.0
Chai Point,jayanagar,"beverages, fast food, tea",250.0,3.2
Janahaar,banashankari,south indian,100.0,3.8
Utsav,banashankari,"north indian, street food",200.0,3.7
Meat And Eat,banashankari,"burger, fast food",500.0,3.1
Snacks Bite,kumaraswamy layout,"fast food, momos",400.0,3.0
The Spice Saga,kumaraswamy layout,"biryani, chinese, north indian, seafood",750.0,3.7
Dakshin Cafe,kumaraswamy layout,south indian,100.0,3.7
Mr. Parathewala,jayanagar,north indian,300.0,
Kaulige Millet Corner,basavanagudi,"healthy food, south indian",150.0,3.3
